show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s1,movie,dick johnson is dead,kirsten johnson,united states,2021-09-25,1970-01-01 00:00:00.000002020,pg-13,90 min,documentaries
s3,tv show,ganglands,julien leclercq,france,2021-09-24,1970-01-01 00:00:00.000002021,tv-ma,1 season,crime tv shows|international tv shows|tv action & adventure
s6,tv show,midnight mass,mike flanagan,united states,2021-09-24,1970-01-01 00:00:00.000002021,tv-ma,1 season,tv dramas|tv horror|tv mysteries
s14,movie,confessions of an invisible girl,bruno garotti,brazil,2021-09-22,1970-01-01 00:00:00.000002021,tv-pg,91 min,children & family movies|comedies
s8,movie,sankofa,haile gerima,united states,2021-09-24,1970-01-01 00:00:00.000001993,tv-ma,125 min,dramas|independent movies|international movies
s9,tv show,the great british baking show,andy devonshire,united kingdom,2021-09-24,1970-01-01 00:00:00.000002021,tv-14,9 seasons,british tv shows|reality tv
s10,movie,the starling,theodore melfi,united states,2021-09-24,1970-01-01 00:00:00.000002021,pg-13,104 min,comedies|dramas
s939,movie,motu patlu in the game of zones,suhas kadav,india,2021-05-01,1970-01-01 00:00:00.000002019,tv-y7,87 min,children & family movies|comedies|music & musicals
s13,movie,je suis karl,christian schwochow,germany,2021-09-23,1970-01-01 00:00:00.000002021,tv-ma,127 min,dramas|international movies
s940,movie,motu patlu in wonderland,suhas kadav,india,2021-05-01,1970-01-01 00:00:00.000002013,tv-y7,76 min,children & family movies|music & musicals
s941,movie,motu patlu: deep sea adventure,suhas kadav,india,2021-05-01,1970-01-01 00:00:00.000002014,tv-y7,76 min,children & family movies|comedies
s942,movie,motu patlu: mission moon,suhas kadav,india,2021-05-01,1970-01-01 00:00:00.000002013,tv-y7,71 min,children & family movies|comedies
s852,movie,99 songs (tamil),not given,pakistan,2021-05-21,1970-01-01 00:00:00.000002021,tv-14,131 min,dramas|international movies|music & musicals
s471,movie,bridgerton - the afterparty,"krysia plonka, kristian mercado",united states,2021-07-13,1970-01-01 00:00:00.000002021,tv-14,39 min,movies
s730,movie,bling empire - the afterparty,"krysia plonka, kristian mercado",united states,2021-06-12,1970-01-01 00:00:00.000002021,tv-ma,36 min,movies
s731,movie,cobra kai - the afterparty,"krysia plonka, kristian mercado",united states,2021-06-12,1970-01-01 00:00:00.000002021,tv-ma,34 min,movies
s913,movie,the circle - the afterparty,"krysia plonka, kristian mercado",united states,2021-05-07,1970-01-01 00:00:00.000002021,tv-14,35 min,comedies
s4,tv show,jailbirds new orleans,not given,pakistan,2021-09-24,1970-01-01 00:00:00.000002021,tv-ma,1 season,docuseries|reality tv
s15,tv show,crime stories: india detectives,not given,pakistan,2021-09-22,1970-01-01 00:00:00.000002021,tv-ma,1 season,british tv shows|crime tv shows|docuseries
s3232,movie,true: winter wishes,"mark thornton, todd kauffman",united states,2019-11-26,1970-01-01 00:00:00.000002019,tv-y,46 min,children & family movies
s4832,tv show,true: magical friends,"mark thornton, todd kauffman",united states,2018-06-15,1970-01-01 00:00:00.000002018,tv-y,1 season,kids' tv
s4833,tv show,true: wonderful wishes,"mark thornton, todd kauffman",united states,2018-06-15,1970-01-01 00:00:00.000002018,tv-y,1 season,kids' tv
s4857,tv show,dance & sing with true,"mark thornton, todd kauffman",united states,2018-05-18,1970-01-01 00:00:00.000002018,tv-y,1 season,kids' tv
s7,movie,my little pony: a new generation,"robert cullen, josé luis ucha",not given,2021-09-24,1970-01-01 00:00:00.000002021,pg,91 min,children & family movies
s12,tv show,bangkok breaking,kongkiat komesiri,not given,2021-09-23,1970-01-01 00:00:00.000002021,tv-ma,1 season,crime tv shows|international tv shows|tv action & adventure
s17,movie,europe's most dangerous man: otto skorzeny in spain,"pedro de echave garcía, pablo azorín williams",not given,2021-09-22,1970-01-01 00:00:00.000002020,tv-ma,67 min,documentaries|international movies
s7930,movie,samudri lootere,anirban majumder,not given,2019-06-18,1970-01-01 00:00:00.000002018,tv-y,65 min,children & family movies
s21,tv show,monsters inside: the 24 faces of billy milligan,olivier megaton,united states,2021-09-22,1970-01-01 00:00:00.000002021,tv-14,1 season,crime tv shows|docuseries|international tv shows
s24,movie,go! go! cory carson: chrissy takes the wheel,"alex woo, stanley moore",united states,2021-09-21,1970-01-01 00:00:00.000002021,tv-y,61 min,children & family movies
s25,movie,jeans,s. shankar,india,2021-09-21,1970-01-01 00:00:00.000001998,tv-14,166 min,comedies|international movies|romantic movies
s28,movie,grown ups,dennis dugan,united states,2021-09-20,1970-01-01 00:00:00.000002010,pg-13,103 min,comedies
s29,movie,dark skies,scott stewart,united states,2021-09-19,1970-01-01 00:00:00.000002013,pg-13,97 min,horror movies|sci-fi & fantasy
s30,movie,paranoia,robert luketic,united states,2021-09-19,1970-01-01 00:00:00.000002013,pg-13,106 min,thrillers
